N_MODEL,HIDDEN_SIZE,N_LAYERS,DIRECTIONS,RECALL,PRECISION,F1,RECALL_WO_O,PRECISION_WO_O,F1_WO_O
Model1,500,1,1,0.8272473613975494,0.7908526149158561,0.778851784934524,0.19391408114558473,0.6000028031968948,0.2723270346598116
Model2,500,2,1,0.8084435278418052,0.7744151560783872,0.7793417109279539,0.29295942720763724,0.40832274628966364,0.296833073956477
Model3,500,3,1,0.8273686764527478,0.7710753788193607,0.7949873478783572,0.32398568019093077,0.3625742180448443,0.32938726017755715
Model4,500,1,2,0.8596384811355089,0.8412410640810827,0.837238159981232,0.39200477326968974,0.6743555498231284,0.4777734317704882
Model5,500,2,2,0.8667960693922115,0.8755436056379372,0.8694072038573424,0.636038186157518,0.5983208447458623,0.6089548063252711
Model6,500,3,2,0.8829309717335921,0.8782872929020589,0.8660938908905809,0.4594272076372315,0.8369853449291845,0.5876992794956204
Model7,800,1,2,0.864855028509038,0.8568768893208774,0.8436382573571901,0.4337708830548926,0.7274514771695777,0.5034653920775283
Model8,800,2,2,0.8854785878927575,0.8844001273360328,0.8838830391670021,0.6634844868735084,0.6570557313615253,0.6550749483590091
Model9,800,3,2,0.899187189130171,0.8930219485288466,0.8880732512588142,0.5483293556085919,0.828413061767885,0.6553482894271218
