N_MODEL,HIDDEN_SIZE,N_LAYERS,DIRECTIONS,RECALL,PRECISION,F1,RECALL_WO_O,PRECISION_WO_O,F1_WO_O
Model1,500,1,1,0.8756520684216911,0.857880938884819,0.8508595555492536,0.4224343675417661,0.7478781127399248,0.5185075868746922
Model2,500,2,1,0.8788062598568482,0.8613666313043357,0.8608898679083311,0.46002386634844866,0.7211240916470611,0.5534974463796172
Model3,500,3,1,0.8617008370738809,0.8109657728895153,0.8296529765237234,0.38007159904534604,0.4677695735913234,0.39877100395298976
Model4,500,1,2,0.8993085041853695,0.8828777196663056,0.8835929802083059,0.5340095465393795,0.7607864448048381,0.6168427070067756
Model5,500,2,2,0.9142302559747665,0.9103817354440431,0.9038930487479273,0.60381861575179,0.8857098758420681,0.709432607605519
Model6,500,3,2,0.9195681184034938,0.9156617685282702,0.9121432374533543,0.6431980906921241,0.871223365173966,0.7343682125685106
Model7,800,1,2,0.9082858182700473,0.900472874378533,0.8952774753991574,0.5787589498806682,0.8362864272477594,0.6686114864483693
Model8,800,2,2,0.9247846657770229,0.9204208700041592,0.9188452293160808,0.6766109785202864,0.8595405892818674,0.7523658861888148
Model9,800,3,2,0.9252699259978163,0.9213848318722243,0.9186759791384284,0.6736276849642004,0.869231959462681,0.7516103726523413
